AthleteGUID,AthleteName,AthleteGender,Nationality
1160078,Joshua Bones,M         ,GBR
1206103,George Heppinstall,M         ,GBR
1230306,Amy Gellion,W         ,GBR
1137090,Ben Shields,M         ,GBR
1276709,Lewis Elijah,M         ,GBR
1090117,Jenny Blizard,W         ,GBR
1346375,Elizabeth Renondeau,W         ,GBR
1267975,Lara Crawford,W         ,GBR
1284373,Ruby Bowie,W         ,GBR
1136804,Benji Pearson,M         ,GBR
1346768,Joseph Buckley,M         ,GBR
1228779,Abigail Pawlett,W         ,GBR
1268960,David Locke,M         ,GBR
1282448,Finlay Hutchinson,M         ,GBR
1281530,Ryan Shields,M         ,GBR
1292358,Kurt Taylor,M         ,GBR
1240081,Emily Craig,W         ,GBR
1202875,Greg Kelly,M         ,GBR
1123109,Guy Learmonth,M         ,GBR
1094126,Eilish McColgan,W         ,GBR
1151880,Sarah McDonald,W         ,GBR
1062893,Lynsey Sharp,W         ,GBR
1141735,Andy Pozzi,M         ,GBR
1235021,Catriona Probert,W         ,GBR
1112058,Holly Rush,W         ,GBR
1206252,Amy Sarkies,W         ,GBR
1256882,Simon Goldsworthy,M         ,GBR
1293280,Ali Mohamed,M         ,GBR
1192036,Ian Crowe-Wright,M         ,GBR
1240840,Aidan Quinn,M         ,GBR
1169594,Max Wharton,M         ,GBR
1227573,Gaia Osborne,W         ,GBR
1272051,Gifty Nkansah,W         ,GBR
1198278,Iolo Hughes,M         ,GBR
1174983,Michael Wilson,M         ,GBR
1197654,Ellie Leather,W         ,GBR
1177686,Jonathan Glen,M         ,GBR
1346974,Noah Armitage-Hookes,M         ,GBR
1344605,George Lowry,M         ,GBR
1346243,Kieran Gilfedder,M         ,GBR
1347371,Jonathan Carter,M         ,GBR
1179734,Adrian Bailes,M         ,GBR
1346953,Larry Ryan,M         ,GBR
1346441,Elisha De Mello,M         ,GBR
1347424,Henry Brocklehurst,M         ,GBR
1346118,Joe Monk,M         ,GBR
1216985,Joseph Tuffin,M         ,GBR
1348025,George Watson,M         ,GBR
1346659,Alex Brown,M         ,GBR
1177663,Sarah Astin,W         ,GBR
1190158,Laura Gent,W         ,GBR
1199823,Andy Grimwood,M         ,GBR
1163318,Fabian Batchelor,M         ,GBR
1238684,Declan Neary,M         ,GBR
1278399,Max Heyden,M         ,GBR
1239360,Peter Cameron,M         ,GBR
1130138,Mathew Jackson,M         ,GBR
1259886,Max Jones,M         ,GBR
1216081,Jonathan Cornish,M         ,GBR
1262496,Thomas Butler,M         ,GBR
1293355,Oliver Newman,M         ,GBR
1274721,Harry Halford,M         ,GBR
1143746,Nick Hooker,M         ,GBR
1215092,Jeremy Dempsey,M         ,GBR
1292266,Norman Shreeve,M         ,GBR
1198446,James Stockings,M         ,GBR
1288083,Tom Coe,M         ,GBR
1289930,Sophie Wood,W         ,GBR
1227992,Bethan Burley,W         ,GBR
1185281,Caitlin Wosika,W         ,GBR
1195236,Zoe Hughes,W         ,GBR
1211400,Rachael Somoye,W         ,GBR
1286595,Eleanor Wallace,W         ,GBR
1154017,Montel Nevers,M         ,GBR
1182336,Ellie Wallace,W         ,GBR
1180057,Jodie Judd,W         ,GBR
1144089,Imani Lansiquot,W         ,GBR
1160641,Beth Dobbin,W         ,GBR
1170986,Chris McAlister,M         ,GBR
1088322,Richard Kilty,M         ,GBR
1134402,Chris Bennett,M         ,GBR
1125026,Delano Williams,M         ,GBR
1272939,Eugene Amo-Dadzie,M         ,GBR
1157280,Joseph Ramie,M         ,GBR
1192380,Lewis Bailey,M         ,GBR
1232298,Bailey Wright,M         ,GBR
1291677,Idorenyin Ekere,M         ,GBR
1261954,Lewis Collins,M         ,GBR
1142311,Sean Molloy,M         ,GBR
1244049,Jack Lennard,M         ,GBR
1266608,Shandell Taylor,M         ,GBR
1122231,Claire Grima,W         ,GBR
1159902,Jenny Spink,W         ,GBR
1065272,Steph Twell,W         ,GBR
1209033,Naomi Mitchell,W         ,GBR
1293103,Lynch Claire,W         ,GBR
1153049,Wendy Webber,W         ,GBR
1273160,Iain Reid,M         ,GBR
1281464,Jack Arnold,M         ,GBR
1183600,Dominic Shaw,M         ,GBR
1286996,Marcus England,M         ,GBR
1116440,James Connor,M         ,GBR
1167191,Andrew Siggers,M         ,GBR
1221187,Matthew Rees,M         ,GBR
1179229,Ben Cole,M         ,GBR
1121289,Derek Hawkins,M         ,GBR
1288102,Tom Bailey,M         ,GBR
1229233,Paul Navesey,M         ,GBR
