AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1264351,134418,2988613,23/08/2023,200m,outdoor,20.42,seconds,2,Heats,WC,Budapest,1,-1.4
1264351,134418,2988729,24/08/2023,200m,outdoor,20.21,seconds,4,Semi-finals,WC,Budapest,1,-0.4
1264351,134418,2988735,25/08/2023,200m,outdoor,20.57,seconds,9,Finals,WC,Budapest,1,-0.2
1264351,142291,3148199,07/08/2024,200m,outdoor,20.12,seconds,2,Semi-finals,OG,Paris,1,-0.6
1236851,112541,2659389,07/08/2021,10000m,outdoor,1897.98,seconds,15,Finals,OG,Tokyo,1,NULL
1236851,134418,2988813,26/08/2023,Marathon,outdoor,8934,seconds,10,Finals,WC,Budapest,1,NULL
1236851,142291,3148762,11/08/2024,Marathon,outdoor,9390,seconds,58,Finals,OG,Paris,1,NULL
1236825,134418,2988001,19/08/2023,1500m,outdoor,218.92,seconds,14,Heats,WC,Budapest,1,NULL
1236756,142291,3148400,08/08/2024,400m Hurdles,outdoor,54.53,seconds,8,Finals,OG,Paris,1,NULL
1236756,142291,3147918,06/08/2024,400m Hurdles,outdoor,53.83,seconds,2,Semi-finals,OG,Paris,1,NULL
1236756,142291,3147160,04/08/2024,400m Hurdles,outdoor,55.32,seconds,3,Heats,OG,Paris,1,NULL
1236593,142291,3147157,04/08/2024,1500m,outdoor,212.49,seconds,7,Semi-finals,OG,Paris,1,NULL
1236593,112541,2659019,03/08/2021,1500m,outdoor,225.92,seconds,11,Heats,OG,Tokyo,1,NULL
1236593,126941,2830575,16/07/2022,1500m,outdoor,218.6,seconds,11,Heats,WC,Eugene OR,1,NULL
1236593,142291,3147061,02/08/2024,1500m,outdoor,216.44,seconds,4,Heats,OG,Paris,1,NULL
1236593,134418,2988001,19/08/2023,1500m,outdoor,215.63,seconds,10,Heats,WC,Budapest,1,NULL
1236457,81430,2466768,06/10/2019,10000m,outdoor,1610.32,seconds,3,Finals,WC,Doha,1,NULL
1236457,112541,2658099,30/07/2021,10000m,outdoor,1672.78,seconds,9,Finals,OG,Tokyo,1,NULL
1236199,135095,3021806,01/03/2024,60m,indoor,6.64,seconds,2,Heats,WC,Glasgow,1,NULL
